Fecha,Hidráulica,Eólica,Solar fotovoltaica,Solar térmica,Hidroeólica,Otras renovables,Residuos renovables,Generación renovable,Turbinación bombeo,Nuclear,Ciclo combinado,Carbón,Motores diésel,Turbina de gas,Turbina de vapor,Fuel + Gas,Cogeneración,Residuos no renovables,Generación no renovable,Consumos en bombeo,Importación Francia,Importación Portugal,Importación Marruecos,Importación Andorra,Exportación Francia,Exportación Portugal,Exportación Marruecos,Exportación Andorra,Saldo I. internacionales,Demanda
2018-04-18,158.317891,109.243239,32.752213,26.354564,0.035224,7.543509,2.481511,336.728151,5.852006,120.967591,45.577735999999994,70.89767,8.215015,2.94547,6.622762,0.0,82.010761,5.55399,348.6430009999999,-5.447832999999999,47.29404,23.158607,0.0001,0.0,-0.35944299999999996,-6.582968,-13.6679,-0.46826,49.374176,729.297495
2018-04-19,153.507427,162.23041899999998,31.905544000000003,26.799754,0.079645,7.628546,2.668771,384.820106,5.384514,121.037605,40.189921000000005,55.70855,7.855517,3.106732,6.758528,0.0,82.584228,5.418533999999999,328.04412899999994,-16.013852999999997,46.470038,14.655384,0.0002,0.0,-3.057585,-18.59003,-14.9179,-0.46205,24.098057,720.948439
2018-04-20,162.04144,185.76140900000001,27.810627,19.377924,0.071572,7.561591999999999,2.6607950000000002,405.28535899999997,6.629944,121.060996,37.412935,53.676979,8.111843,2.502662,6.388329,0.0,82.093851,5.55018,323.42771899999997,-20.857932,26.801736000000002,16.07753,0.0,0.0,-6.081402,-14.549289,-13.643,-0.45537,8.150205,716.005351
2018-04-21,163.804884,129.081226,18.627401999999996,0.826759,0.07593899999999999,7.81147,2.653971,322.88165100000003,9.166972,121.109196,35.287464,44.644105,7.99499,2.630312,5.39412,-1e-06,75.215323,5.779509,307.22199000000006,-17.572217000000002,52.855833,11.079463,0.0,0.0,-0.06473699999999999,-11.865235,-17.952900000000003,-0.40428,33.648144,646.179568
2018-04-22,160.74256899999997,83.534372,21.883813,4.3937219999999995,0.076404,7.695383,2.6871959999999997,281.01345899999995,5.576077000000001,121.031601,42.330227,40.718087,7.852349,1.961598,5.1368,0.0,73.646657,5.79073,304.04412599999995,-12.885755,46.817326,7.263895000000001,0.0,0.0,-0.00715,-17.670305,-13.117899999999999,-0.38744,22.898426,595.070256
2018-04-23,184.717709,70.930313,21.135493,4.867843,0.078485,8.750746999999999,2.643163,293.12375299999997,7.398906,121.07325900000001,64.626602,59.364567,8.765443999999999,1.9731910000000001,6.296832,0.0,79.978407,5.781287,355.258495,-0.704336,56.008982,20.219947,0.0,0.0,-2.406041,-11.672352,-18.227,-0.45204,43.471496,691.1494080000001
2018-04-24,185.09061799999998,92.544538,25.608412,6.310234,0.069701,9.315307,2.5040340000000003,321.4428439999999,7.794589,121.07563999999999,53.019022,66.404631,9.173067,1.547215,6.023527,0.0,80.735065,6.017202,351.78995799999996,-0.331441,58.449793,20.357199,0.0,0.0,-4.761545,-12.355306,-16.7533,-0.45633999999999997,44.480501,717.381862
2018-04-25,177.953365,108.31353,24.684065999999998,10.703065,0.100491,9.857091,2.3957485000000003,334.0073565,6.066851,121.084238,50.657002999999996,62.72902,8.972363,1.8211389999999998,6.456666,0.0,80.49077700000001,6.6246745,344.9027315000001,-1.0341790000000002,60.475918,22.452276,0.0,0.0,-5.936408,-13.26813,-16.5883,-0.45394999999999996,46.681406,724.5573149999999
2018-04-26,174.809154,114.35031,28.329438,15.282717,0.111089,9.655085999999999,2.354445,344.8922390000001,10.053125,121.02316,56.809961,64.53712900000001,8.836877000000001,2.139901,6.093676,0.0,82.11523299999999,6.671683,358.28074499999997,-12.793402,60.374983,15.82904,0.0,0.00032,-5.646256999999999,-23.092525000000002,-17.2194,-0.22536,30.020801,720.400383
2018-04-27,163.861603,109.372787,29.3161,18.327552999999998,0.115033,10.261977,2.4179615,333.67301449999997,4.699188,121.04836900000001,50.592389000000004,60.638861,8.774459,1.961438,6.572667,1e-06,82.484459,6.7291875,343.5010185,-3.595666,57.611175,18.861082,0.0,2.9999999999999997e-05,-4.032049,-15.781165000000001,-14.669799999999999,-0.31872,41.670553,715.24892
2018-04-28,142.693052,105.60287600000001,25.7201,12.65686,0.109628,9.601251,2.7156534999999997,299.0994205,4.364509,121.163924,37.904057,44.527733999999995,8.085092,1.8781240000000001,5.871969,0.0,77.92661100000001,6.9958915,308.71791150000007,-10.694499,72.120952,8.738812,0.0,0.0,-0.47939299999999996,-22.56298,-13.6744,-0.44866,43.694331,640.8171640000002
2018-04-29,106.284171,183.29909099999998,23.496448,10.653224,0.103557,8.150085,2.6631590000000003,334.6497349999999,13.192765,121.21757000000001,33.30689,35.168771,6.657706,2.26437,5.007091,0.0,71.33918700000001,6.715599,294.8699490000001,-56.182116,58.03079,2.876685,0.3543,0.0,-1.0313620000000001,-31.788452,-9.2424,-0.31924,18.880321,592.217889
